"Sector","Indicator","Sub Indicator","Percentages","variable_name"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","",0.0636017390332064,"received_aid"
"AAP","% of HHs reporting to have received [type of aid]","Cash",0.45152548494526,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Food",0.605992899604601,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Water",0.015847329401843,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Fuel",0.00740210924991477,"received_aid_fuel"
"AAP","% of HHs reporting to have received [type of aid]","Shelter",0.00535445362127874,"received_aid_shelter"
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items",0.00953864952661862,"received_aid_seasonal_items"
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items",0.00234205327176528,"received_aid_other_nfi"
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services",0.0071988641819306,"received_aid_protection"
"AAP","% of HHs reporting to have received [type of aid]","Education services",0.154519952063958,"received_aid_education"
"AAP","% of HHs reporting to have received [type of aid]","Healthcare",0.0457273157051624,"received_aid_healthcare"
"AAP","% of HHs reporting to have received [type of aid]","none",0,"received_aid_none"
"AAP","% of HHs reporting to be satisfied with the aid received","",0.639658624239076,"aid_satisfaction"
"CCCM, Shelter, Protection","% of HHs living in critical shelter","",0.114412325702395,"critical_shelter"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_habitual",0.0750173990003051,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_rental",0.0377239145747389,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","good_habitual",0.523304131563819,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","good_rental",0.18549436136964,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","host_family",0.0356366006504799,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","hotel",0.00294921294891921,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","makeshift_shelter",0.00620715755820659,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","non_residential",0.0137432643121031,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","other",0.0254620541897023,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","public_building",0.00350065147396722,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","religious_building",0.00278713359171615,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","rhu",0.0139099907534431,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","tent",0.0302982773658267,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","unfinished_building",0.0439658506471326,"shelter.shelter_type"
"Education","% of households with at least one school-aged child not attending formal school regularly (at least 4 days a week)","",0.316882740745289,"not_attending_formal"
"Education","% of households with at least one female school-aged child not attending formal school regularly (at least 4 days a week)","",0.291941547171264,"female_not_attending_formal"
"Education","% of households with at least one male school-aged child not attending formal school regularly (at least 4 days a week)","",0.248924031901082,"male_not_attending_formal"
"Education","% of HHs with at least one child dropping out in previous academic year","",0.16766300526744,"dropped_from_school"
"Education","Main barriers to education","School stopped functioning and is now closed",0.0998174754801253,"education_barriers_not_function"
"Education","Main barriers to education","Lack of safety to access schools",0.0223113652385332,"education_barriers_safety"
"Education","Main barriers to education","Costs related to education",0.258210797950515,"education_barriers_cost"
"Education","Main barriers to education","Unable to enroll/register",0.0983483017939475,"education_barriers_unable_to_register"
"Education","Main barriers to education","Health condition of child",0.109246995556217,"education_barriers_health_issue"
"Education","Main barriers to education","Physical limitations to access school ",0.110708040432887,"education_barriers_physical_limitation"
"Education","Main barriers to education","School and classes are overcrowded",0.00647570348671206,"education_barriers_overcrowded"
"Education","Main barriers to education","The school infrastructure is poor",0.0273842469159717,"education_barriers_poor_infrastructure"
"Education","Main barriers to education","Curriculum not adapted",0.0171920272988296,"education_barriers_curriculum_not_adapted"
"Education","Main barriers to education","Child working",0.0654783199733031,"education_barriers_working"
"Education","Main barriers to education","parental refusal",0.0394714714440415,"education_barriers_parental_refusal"
"Education","Main barriers to education","Lack of interest of children in education.",0.127892383185794,"education_barriers_lack_interest"
"Education","Main barriers to education","Unable to access distance learning: household does not have the required resources",0.043428792920339,"education_barriers_distance_learning_lack_resources"
"Education","Main barriers to education","Unable to access distance learning: school is not offering alternative education while school buildings are closed",0.0408364636063182,"education_barriers_distance_learning_no_alternative"
"Education","Main barriers to education","None",0.158226208804199,"education_barriers_none"
"Education","Main barriers to education","Other",0.0254154826127685,"education_barriers_other"
"Food Security","Food Consumption Score","Acceptable",0.896776443519301,"fcs_category"
"Food Security","Food Consumption Score","Borderline",0.072189510700091,"fcs_category"
"Food Security","Food Consumption Score","Poor",0.0310340457806077,"fcs_category"
"Food Security","Household Hunger Scale","Little to no hunger in the household (0-1)",0.928459408555465,"household_hunger_category"
"Food Security","Household Hunger Scale","Moderate hunger in the household (2-3)",0.0672163985498378,"household_hunger_category"
"Food Security","Household Hunger Scale","Severe hunger in the household (4-6)",0.00432419289469716,"household_hunger_category"
"Food Security, Livelihoods","% of HH relying on negative coping strategies (stress, crisis or emergency) to cope with a lack of food or money to buy food","Stress",0.654818700196372,"stress"
"Food Security, Livelihoods","% of HH relying on negative coping strategies (stress, crisis or emergency) to cope with a lack of food or money to buy food","Crisis",0.248488566856278,"crisis"
"Food Security, Livelihoods","% of HH relying on negative coping strategies (stress, crisis or emergency) to cope with a lack of food or money to buy food","Emergency",0.113422258623977,"emergency"
"Food Security, Livelihoods","% of HH spending more than 50% of total expenditure on food","",0.594855930827295,"food_expenditure_share"
"Health","% of households with  a hospital with emergency, maternity, surgical and pediatric services within one hour's reach from dwellings","",0.615811642539579,"hospital_access_services"
"Health","% of households that can access primary healthcare (health clinic) within one hour's walk from dwellings","",0.995643280242238,"clinic_access"
"Health","% HH reporting difficulties in accessing health services","",0.501954452572401,"difficulty_access_healthcare"
"Health","% HH reporting [type of difficulty] in accessing health services","Cost of services and/or medicine was too high",0.752052487827643,"difficulty_access_healthcare_cost"
"Health","% HH reporting [type of difficulty] in accessing health services","Did not get access to qualified health staff at the health facility",0.0367117824029082,"difficulty_access_healthcare_lack_qualified_staff"
"Health","% HH reporting [type of difficulty] in accessing health services","Problems with civil documents",0.0019461646711803,"difficulty_access_healthcare_lack_civil_doc"
"Health","% HH reporting [type of difficulty] in accessing health services","Public health clinic did not provide referral",0.0254660694202985,"difficulty_access_healthcare_no_referral_phc"
"Health","% HH reporting [type of difficulty] in accessing health services","Public health clinic not open",0.0269670073869064,"difficulty_access_healthcare_phc_closed"
"Health","% HH reporting [type of difficulty] in accessing health services","The treatment center was too far away/Transportation constraints",0.139283994119136,"difficulty_access_healthcare_too_far"
"Health","% HH reporting [type of difficulty] in accessing health services","Medical staff refused treatment without any excuse",0.00403201571483127,"difficulty_access_healthcare_staff_refused_treatment"
"Health","% HH reporting [type of difficulty] in accessing health services","No medicine available at health facility/pharmacy",0.123342268266976,"difficulty_access_healthcare_lack_medicine"
"Health","% HH reporting [type of difficulty] in accessing health services","No treatment available for my disease at the health facility",0.0993572083088694,"difficulty_access_healthcare_no_treatment_phc"
"Health","% HH reporting [type of difficulty] in accessing health services","Health services not inclusive of people with disabilities",0.00797075821008675,"difficulty_access_healthcare_not_inclusive_disability"
"Health","% HH reporting [type of difficulty] in accessing health services","Lack of female health staff",0.0111956420215039,"difficulty_access_healthcare_no_female_staff"
"Health, Protection","% HH with at least on individual that has ""lots of difficulty"" or ""cannot do at all"" one of the following activities: seeing, hearing, walking/climbing steps, remembering/concerntrating, self-care, communicating","",0.112195377824925,"members_disabled"
"Health, Protection","% of households with members unable to access one or more services due to disability","",0.414114149116664,"difficulty_disability_services"
"Health, Protection GBV","% of households reporting that women of reproductive age (15-49) face difficulty in accessing specialized reproductive health services","",0.201883334422602,"difficulty_accessing_female_services"
"HH profile","% of female-headed households","",0.11228182169045,"female_headed"
"HH profile","% of single headed households","",0.108747824092242,"single_headed"
"HH Profile, CCCM ","% of IDP HHs that intend to remain in their current location for the next three months","Remain
Return to AoO
Move elsewhere
Don’t know",0.911386407824646,"no_movement_3"
"HH Profile, CCCM ","% of IDP HHs that intend to remain in their current location for the next twelve months","Remain
Return to AoO
Move elsewhere
Don’t know",0.83104389070209,"no_movement_12"
"HH Profile, CCCM ","% of returnee HHs that intend to remain in their current location for the next twelve months","",0.935510060650651,"no_movement_returnee_12"
"HH Profile, CCCM ","% of IDP HHs that intend to integrate into the local community of their current district in the long-term","",0.791673985865677,"integration"
"HH Profile, CCCM ","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","Safety in AoO",0.347704924186418,"return_security_aoo"
"HH Profile, CCCM ","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","Safety concerns in AoD",0.0643826681028666,"return_security_aod"
"HH Profile, CCCM ","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","Lack of livelihood in AoD",0.138586335830563,"return_livelihoods_aod"
"HH Profile, CCCM ","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","to secure HLP ",0.115790713236254,"return_secure_hlp"
"HH Profile, CCCM ","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","to secure civil documentation or security clearance",0.00703090007908731,"return_secure_docs"
"HH Profile, CCCM ","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","Lack of access to basic services in AoD (e.g. health, education, courts)",0.0618610391384014,"return_limited_services"
"HH Profile, CCCM ","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","Availability of access to basic services and/or livelihood in AoO (e.g. health, education, courts)",0.397002998761377,"return_available_services_aoo"
"HH Profile, CCCM ","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","Social pull factors (e.g. emotional desire, family returned, family released from detention, lack integration AoD)",0.466823468652932,"return_pull_factors"
"HH Profile, CCCM ","% of IDP HHs that currently intends to return to their AoO due to [insert response option]","Mine/UXO contamination",0.126787064390228,"return_uxo"
"HH Profile, CCCM ","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","Safety concerns in AoO",0.577753578300726,"no_return_security_aoo"
"HH Profile, CCCM ","% of IDP HHs that currently don't intend to return to their AoO due to [insert response option]","Lack of livelihood in AoO",0.466776805736252,"no_return_lack_livelihoods"
