"Sector","Indicator","Sub Indicator","Disaggregation","Percentages","variable_name","p_value"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","female",0.0588336140703404,"received_aid",0.000275729397273313
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","male",0.0409009347466031,"received_aid",0.000275729397273313
"AAP","% of HHs reporting to have received [type of aid]","Cash","female",0.418903671900713,"received_aid_cash",0.0974134554118976
"AAP","% of HHs reporting to have received [type of aid]","Cash","male",0.419530946325515,"received_aid_cash",0.0974134554118976
"AAP","% of HHs reporting to have received [type of aid]","Food","female",0.663396418607621,"received_aid_food",0.00754755664467595
"AAP","% of HHs reporting to have received [type of aid]","Food","male",0.62770705818151,"received_aid_food",0.00754755664467595
"AAP","% of HHs reporting to have received [type of aid]","Water","female",0.024873534996352,"received_aid_water",0.00115364097906027
"AAP","% of HHs reporting to have received [type of aid]","Water","male",0.0311650803569142,"received_aid_water",0.00115364097906027
"AAP","% of HHs reporting to have received [type of aid]","Fuel","female",0,"received_aid_fuel",0.0602197125597181
"AAP","% of HHs reporting to have received [type of aid]","Fuel","male",0.0078350249387543,"received_aid_fuel",0.0602197125597181
"AAP","% of HHs reporting to have received [type of aid]","Shelter","female",0.0172096174186187,"received_aid_shelter",5.05087866776086e-07
"AAP","% of HHs reporting to have received [type of aid]","Shelter","male",0.00281446294009119,"received_aid_shelter",5.05087866776086e-07
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items","female",0.015098462758662,"received_aid_seasonal_items",0.442193783984764
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items","male",0.00759337756523356,"received_aid_seasonal_items",0.442193783984764
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items","female",0,"received_aid_other_nfi",0.86593223823468
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items","male",0.00247902931078508,"received_aid_other_nfi",0.86593223823468
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services","female",0.00235936773321932,"received_aid_protection",0.96114961116897
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services","male",0.00722873809856614,"received_aid_protection",0.96114961116897
"AAP","% of HHs reporting to have received [type of aid]","Education services","female",0.133890127429693,"received_aid_education",0.23072016914664
"AAP","% of HHs reporting to have received [type of aid]","Education services","male",0.141359742515552,"received_aid_education",0.23072016914664
"AAP","% of HHs reporting to have received [type of aid]","Healthcare","female",0.0374073295626515,"received_aid_healthcare",0.33808406752291
"AAP","% of HHs reporting to have received [type of aid]","Healthcare","male",0.0422000114195234,"received_aid_healthcare",0.33808406752291
"AAP","% of HHs reporting to have received [type of aid]","none","female",0,"received_aid_none",NA
"AAP","% of HHs reporting to have received [type of aid]","none","male",0,"received_aid_none",NA
"AAP","% of HHs reporting to be satisfied with the aid received","","female",0.681588998946717,"aid_satisfaction",0.0337569392289523
"AAP","% of HHs reporting to be satisfied with the aid received","","male",0.671372624598834,"aid_satisfaction",0.0337569392289523
"CCCM, Shelter, Protection","% of HHs living in critical shelter","","female",0.115795212538561,"critical_shelter",1.05330001869665e-06
"CCCM, Shelter, Protection","% of HHs living in critical shelter","","male",0.0749685773295598,"critical_shelter",1.05330001869665e-06
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_habitual","female",0.0905998127103223,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_rental","female",0.0469980078485836,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","good_habitual","female",0.555559062829187,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","good_rental","female",0.114992623961494,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","host_family","female",0.0580284153769629,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","hotel","female",0.00347901000994082,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","makeshift_shelter","female",0.0180568679020491,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","non_residential","female",0.0172959684377809,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","other","female",0.0145478547249487,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","public_building","female",0.00180930855700585,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","religious_building","female",0.00160698468001321,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","rhu","female",0.00598997839495603,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","tent","female",0.0289916308848655,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","unfinished_building","female",0.0420444736818902,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_habitual","male",0.0743016273062913,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_rental","male",0.0269222924483662,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","good_habitual","male",0.624537451214207,"shelter.shelter_type",3.4749072606711e-19
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","good_rental","male",0.155503017256021,"shelter.shelter_type",3.4749072606711e-19
