"Sector","Indicator","Sub Indicator","Aggregation","Disaggregation","Percentages","variable_name"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Salah al-Din","idp",0.0958635994295452,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Salah al-Din","idp_camp",0.914945729150114,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Salah al-Din","returnee",0.0194686194722841,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Erbil","idp",0.0121394931925568,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Erbil","idp_camp",0.995304703297982,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Erbil","returnee",0.0105263157894737,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Anbar","idp",0.184882020230948,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Anbar","idp_camp",0.948855273066463,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Anbar","returnee",0.0175081166151711,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Dahuk","idp",0.0531142771977668,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Dahuk","idp_camp",0.929182938277543,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Ninewa","idp",0.0767713248296091,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Ninewa","idp_camp",0.947565276215815,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Ninewa","returnee",0.0627165464474086,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Sulaymaniyah","idp",0.419397447187747,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Sulaymaniyah","idp_camp",0.941948761845884,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Baghdad","idp",0.0207442626247697,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Baghdad","idp_camp",0.912746022392457,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Baghdad","returnee",0.127659574468085,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Diyala","idp",0.14339702014799,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Diyala","idp_camp",0.834254143646409,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Diyala","returnee",0.0485993726722756,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Kirkuk","idp",0.0901907728771656,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","Kirkuk","idp_camp",0.771317829457364,"received_aid"
