"Sector","Indicator","Sub Indicator","Percentages","variable_name"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","",0.102416386799907,"received_aid"
"AAP","% of HHs reporting to have received [type of aid]","Cash",0.276522026499001,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Food",0.896503284999297,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Water",0.0113942750544784,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Fuel",0.000580571875267003,"received_aid_fuel"
"AAP","% of HHs reporting to have received [type of aid]","Shelter",0,"received_aid_shelter"
"AAP","% of HHs reporting to have received [type of aid]","Seasonal items",0.0527350606044399,"received_aid_seasonal_items"
"AAP","% of HHs reporting to have received [type of aid]","Other non-food items",0.214192938583489,"received_aid_other_nfi"
"AAP","% of HHs reporting to have received [type of aid]","Protection/legal services",0.000563437203554847,"received_aid_protection"
"AAP","% of HHs reporting to have received [type of aid]","Education services",0.000174679679183688,"received_aid_education"
"AAP","% of HHs reporting to have received [type of aid]","Healthcare",0.189861768239367,"received_aid_healthcare"
"AAP","% of HHs reporting to be satisfied with the aid received","",0.83902360361628,"aid_satisfaction"
"CCCM, Shelter, Protection","% of HHs living in critical shelter","",0.102909083703297,"critical_shelter"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","apartment",0.0237571655997185,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","container",0.0106339166821269,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","damaged_building",0.0130560860036633,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","hotel",0.000938852704857767,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","house",0.870591914664992,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","makeshift_shelter",0.00436720832968249,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","non_residential",0.00188764585310325,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","other",0.00180298332713522,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","public_building",0.000421932701223323,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","religious_building",0.00046875701328251,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","rhu",0.000570796140969213,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","tent",0.0465838729203862,"shelter.shelter_type"
"CCCM, Shelter, Protection","% of HHs living in [type of shelter]","unfinished_abandoned_building",0.0249188680588596,"shelter.shelter_type"
"Education","% of households with at least one school-aged child not attending formal school regularly (at least 4 days a week)","",0.136031285715855,"not_attending_formal"
"Education","% of households with at least one female school-aged child not attending formal school regularly (at least 4 days a week)","",0.125574955888757,"female_not_attending_formal"
"Education","% of households with at least one male school-aged child not attending formal school regularly (at least 4 days a week)","",0.0879602747287788,"male_not_attending_formal"
"Education","% of HHs with at least one child dropping out in previous academic year","",0.183111943739513,"dropped_from_school"
"Education","Main barriers to education","School stopped functioning and is now closed",0.228319948858891,"education_barriers_not_function"
"Education","Main barriers to education","Lack of safety to access schools",0.0309091189242206,"education_barriers_safety"
"Education","Main barriers to education","Costs related to education",0.258046343180842,"education_barriers_cost"
"Education","Main barriers to education","Unable to enroll/register",0.0611056423929003,"education_barriers_unable_to_register"
"Education","Main barriers to education","Physical limitations to access school ",0.104387395426533,"education_barriers_physical_limitation"
"Education","Main barriers to education","School and classes are overcrowded",0.0213378698179326,"education_barriers_overcrowded"
"Education","Main barriers to education","The school infrastructure is poor",0.0133490754834767,"education_barriers_poor_infrastructure"
"Education","Main barriers to education","Curriculum not adapted",0.0241025280153064,"education_barriers_curriculum_not_adapted"
"Education","Main barriers to education","Child working",0.0560296978870993,"education_barriers_working"
