"Sector","Indicator","Sub Indicator","Aggregation","Percentages","variable_name","year"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","babil",0.100769577126562,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","diyala",0.0694643081074943,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kirkuk",0.0259768908308652,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.sulaymaniyah",0.36806750523485,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","duhok",0.437448129242199,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.anbar",0.0105232978516314,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","salah.al.din",0.0493942320696285,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","baghdad",0.0185212646318079,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","ninewa",0.044752675481565,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","wassit",0,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","maysan",0,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","erbil",0.118165272860693,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","thi.qar",0,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kerbala",0.0105263157894737,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.qadissiya",0,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.najaf",0.0204050187101035,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.basrah",0.0890774125132556,"received_aid","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","babil",0.0157630234223634,"received_aid_cash","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","diyala",0.0506024988684709,"received_aid_cash","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","kirkuk",0.312434022560713,"received_aid_cash","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.sulaymaniyah",0.133022157704944,"received_aid_cash","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","duhok",0.824706627082762,"received_aid_cash","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.anbar",0.324451290616465,"received_aid_cash","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","salah.al.din",0.0780669146537164,"received_aid_cash","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","baghdad",0,"received_aid_cash","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","ninewa",0.426293999447505,"received_aid_cash","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","erbil",0.494459868026,"received_aid_cash","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.najaf",0,"received_aid_cash","2021"
