"Sector","Indicator","Sub Indicator","Aggregation","Disaggregation","Percentages","variable_name","year"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","babil","idp_out_camp",0.100769577126562,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","diyala","idp_in_camp",0.981818181818182,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","diyala","idp_out_camp",0.225314257971182,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","diyala","returnee",0.0349857214424504,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kirkuk","idp_out_camp",0.0938591594531917,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kirkuk","returnee",0.00796443248075104,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.sulaymaniyah","idp_in_camp",0.967655864823834,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.sulaymaniyah","idp_out_camp",0.298173673689541,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","duhok","idp_in_camp",0.781088707544669,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","duhok","idp_out_camp",0.125373760498371,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.anbar","host",0.053763440860215,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.anbar","idp_in_camp",0.7,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.anbar","idp_out_camp",0.0346897986016606,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.anbar","returnee",0.00855835635985308,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","salah.al.din","idp_out_camp",0.118218965477525,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","salah.al.din","returnee",0.0435211162380459,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","baghdad","idp_out_camp",0.00322020931333842,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","baghdad","returnee",0.02280281355054,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","ninewa","host",0,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","ninewa","idp_in_camp",0.795223177307078,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","ninewa","idp_out_camp",0.0211734573850093,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","ninewa","returnee",0.0258466085823267,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.basrah","host",0.0380952380952381,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.basrah","idp_out_camp",0.0890774125132556,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","wassit","idp_out_camp",0,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","maysan","idp_out_camp",0,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","erbil","idp_in_camp",0.902335296670182,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","erbil","idp_out_camp",0.0664702962861698,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","erbil","returnee",0,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","thi.qar","idp_out_camp",0,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kerbala","idp_out_camp",0.0105263157894737,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.qadissiya","host",0,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.qadissiya","idp_out_camp",0,"received_aid","2021"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.najaf","idp_out_camp",0.0204050187101035,"received_aid","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","babil","idp_out_camp",0.0157630234223634,"received_aid_cash","2021"
"AAP","% of HHs reporting to have received [type of aid]","Cash","diyala","idp_in_camp",0.925925925925926,"received_aid_cash","2021"
