"Sector","Indicator","Sub Indicator","Aggregation","Percentages","variable_name"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.anbar",0.160403096875051,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","diyala",0.162677532948682,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.sulaymaniyah",0.28113679616079,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","ninewa",0.104989400440803,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","duhok",0.558155743657058,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","erbil",0.0946774740203807,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","salah.al.din",0.0459021760341858,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","baghdad",0.0784486685419487,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.qadissiya",0.736263736263736,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kerbala",0,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","kirkuk",0.0535254630760632,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","wassit",0,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.basrah",0.0707070707070707,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","babil",0.178571428571429,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","maysan",0.0952380952380952,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","al.najaf",0.00168149084457226,"received_aid"
"AAP","% of HHs reported having received aid in the 30 days prior to data collection","","thi.qar",1,"received_aid"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.anbar",0.497492230353458,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","diyala",0.169088323658329,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.sulaymaniyah",0.102092351385314,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","ninewa",0.174502133147248,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","duhok",0.673649392755358,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","erbil",0.773701281431775,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","salah.al.din",0.210487396765787,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","baghdad",0.389087095430292,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.qadissiya",0,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","kirkuk",0.354293055168723,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","al.basrah",0,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","babil",0.266666666666667,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","maysan",0.4,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Cash","thi.qar",0,"received_aid_cash"
"AAP","% of HHs reporting to have received [type of aid]","Food","al.anbar",0.639540860966234,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","diyala",0.736789612635241,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","al.sulaymaniyah",0.950454263480274,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","ninewa",0.903866283625814,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","duhok",0.797608323687158,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","erbil",0.937883192323299,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","salah.al.din",0.717406463703279,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","baghdad",0.500868649508036,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","al.qadissiya",1,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","kirkuk",0.728108566314585,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","al.basrah",1,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","babil",0.6,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","maysan",0.5,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Food","thi.qar",1,"received_aid_food"
"AAP","% of HHs reporting to have received [type of aid]","Water","al.anbar",0.0525183432294439,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","diyala",0.00715313075763974,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","al.sulaymaniyah",0.0572145936420311,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","ninewa",0.0267703596270379,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","duhok",0.00222882277520404,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","erbil",0.0553484122557618,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","salah.al.din",0.0022917620687323,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","baghdad",0.0294030478844504,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","al.qadissiya",0,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","kirkuk",0.0540445618018581,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","al.basrah",0,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","babil",0.0666666666666667,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","maysan",0.3,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Water","thi.qar",0,"received_aid_water"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","al.anbar",0.0302319341817116,"received_aid_fuel"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","diyala",0,"received_aid_fuel"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","al.sulaymaniyah",0.0157078902052554,"received_aid_fuel"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","ninewa",0.0327643441879578,"received_aid_fuel"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","duhok",0.00382358321811149,"received_aid_fuel"
"AAP","% of HHs reporting to have received [type of aid]","Fuel","erbil",0.00586235220582701,"received_aid_fuel"
